"id";"CIF/NIF/NIE";"No Identificacion RII";"Titular";"Denominacion/Rotulo del establecimiento";"Direccion";"Municipio";"Localidad";"Provincia";"CP";"Telefono";"Email";"Fax";"URL";"Actividad Principal";"Descripcion Actividad Principal";"Actividades Secundarias";"Descripcion Actividades Secundarias"
"3549";"B31920804";"15-A-243-00052701";"ESTRUCTURAS PARA ENERGIAS RENOVABLES SL";"ESTRUCTURAS PARA ENERGÍAS RENOVABLES SL";"Industrial Cintruénigo, Calle I, Nº11 (Parc. 1385, pol. 4)";"CINTRUÉNIGO";"Cintruénigo";"Navarra";"31592";"948812534";"dsanz@epersl.com";;;"24.33";"Producción de perfiles en frío por conformación con plegado";;
"3550";"B31926710";"15-A-162-00052574";"CARPINTERIA ORFEY SL";"CARPINTERIA ORFEY, S.L.";"Pol. Ind. Ezcabarte, C/P, Manzana F";"EZCABARTE";"Oricáin ";"Navarra";"31194";"948361645";"mail@nodisponible.es";"948361645";;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"3551";"B31934292";"15-A-281-00014553";"HBPO AUTOMOTIVE SPAIN, S.L.U.";"HBPO AUTOMOTIVE SPAIN, S.L.U.";"Pol. Ind. Arazuri-Orcoyen, C/C, parcela 3-5";"CENDEA DE OLZA/OLTZA ZENDEA";"Arazuri";"Navarra";"31170";"948324828";"maria.armendariz@HBPOgroup.com";"948324896";;"28.11";"Fabricación de motores y turbinas, excepto los destinados a aeronaves, vehículos automóviles y ciclomotores";;
"3552";"B31934771";"15-A-473-00051781";"BURUNDA OIL SL";"BURUNDAOIL SL";"ZUMURDIÑETA 15";"ETXARRI-ARANATZ";"Etxarri-Aranatz";"Navarra";"31820";"948460217";"info@etxarrioil.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3553";"F31065121";"15-A-256-00052796";"SAKANA SCI";"SAKANA, S.COOP (Mecanizado)";"Pol. Ind. Sarrate, s/n";"LAKUNTZA";"Lakuntza";"Navarra";"31830";"948576000";"info@sakana.coop";"948576130";;"25.62";"Ingeniería mecánica por cuenta de terceros";;
"3554";"B31944812";"15-A-282-00052739";"ENGINEERING MECHANICAL SYSTEMS SL";"ENGINEERING MECHANICAL SYSTEMS, S.L.";"Pol. Ind. Buñuel-Parcela C-14";"BUÑUEL";"Buñuel";"Navarra";"31540";"607246688";"ILUENGO@EMSYSTEM.ES";"948401052";;"28.22";"Fabricación de maquinaria de elevación y manipulación";;
"3555";"B31945140";"15-A-259-00052751";"TALLERES Y MECANIZADOS ZUNZA NAVARRA SLL";"TALLERES Y MECANIZADOS ZUNSA NAVARRA, S.L.";"Pol. Ind. Morea Sur Ampliación, C/E, Nave 4";"BERIÁIN";"Beriáin";"Navarra";"31191";"948236332";"zunsa@hotmail.es";"948236332";;"25.92";"Fabricación de envases y embalajes metálicos ligeros";;
"3556";"B31945330";"15-A-241-00052810";"GESTION DE PERFILES SL";"GESTION DE PERFILES, S.L.";"Pol. Ind. Errekaldea, C/A nº 10";"BERIÁIN";"Beriáin";"Navarra";"31119";"0";"comercial@gesperfil.com";;;"24.1";"Fabricación de productos básicos de hierro, acero y ferroaleaciones";;
"3557";"B31945983";"15-A-439-00052728";"IZARLAN METALICAS SL";"IZARLAN METALICAS SL";"BARAÑAIN C/C 38";"BARAÑÁIN";"Barañáin/Barañain";"Navarra";"31010";"638269002";"josetxozb@wanadoo.es";;;"43.99";"Otras actividades de construcción especializada no clasificado en otra parte";;
"3558";"B31950009";"15-A-256-00052986";"PULIDOS IRUñA SL";"PULIDOS IRUÑA, S.L.";"Pol. Ind. Landaben, C/E, Travesia 2";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31012";"948187300";"info@pulidosiruna.com";"948182481";;"25.61";"Tratamiento y revestimiento de metales";;
"3559";"B31956337";"15-A-256-00052949";"GOILAK SL";"GOILAK, S.L.";"Pol. Ind. Sarrarte, s/n";"LAKUNTZA";"Lakuntza";"Navarra";"31830";"948468151";"goilak@goilak.com";"948563806";;"25.61";"Tratamiento y revestimiento de metales";;
"3560";"B87006847";"15-A-473-00053616";"PETROCORNER RETAIL S.L.U.";"BP VILLAVA I";"Ctra N-121 PAMPLONA-IRUN, Km 4";"VILLAVA/ATARRABIA";"Villava/Atarrabia";"Navarra";"31610";"948332599";"manuel.melara@petrocorner.com";"948333564";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3561";"B48011670";"15-A-222-00008037";"DOW CHEMICAL IBERICA SL";"DOW CHEMICAL IBERICA, S.L.";"Avenida Castellar, s/n";"RIBAFORADA";"Ribaforada";"Navarra";"31550";"948418300";"ppardo@dow.com";"948864441";;"22.22";"Fabricación de envases y embalajes de plástico";;
"3562";"B48108096";"15-A-383-00012430";"SAICA NATUR NORTE SL";"SAICA NATUR NORTE S.L. (Salinas)";"Pol. Meseta de Salinas, C/B, 7";"GALAR";"Salinas de Pamplona ";"Navarra";"31191";"946730001";"pamplona.natur@saica.com";;;"38.32";"Valorización de materiales ya clasificados";;
"3563";"B50490457";"15-A-467-00051334";"SERTELGAS SL";"SERTELGAS SL GASOCENTRO";"POLIGONO INDUSTRIAL OMBATILLO S/N  ";"CORELLA";"Corella";"Navarra";"31591";"948401386";"antonio@iraola-arteta.com";;;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"3564";"B50600089";"15-A-331-00053298";"COMERCIO TECNICA Y MANTENIMIENTO SL";"COMERCIO TECNICA Y MANTENIMIENTO, S.L.";"POL. LA ALBERGUERIA. C/ JAVIER INDAVE 4 - PARC. 3,5  ";"VIANA";"Viana";"Navarra";"31230";"976694430";"dnuviala@coteyma.com";"976682142";;"33.12";"Reparación de maquinaria";;
"3565";"B50616416";"15-A-383-00053362";"SAICA NATUR SL";"SAICA NATUR, S.L.";"Pol. Ind. La Peña, Ctra NA-134, Km 93";"VIANA";"Viana";"Navarra";"31230";"976515000";"josel.serrano@saica.com";"976513915";;"38.32";"Valorización de materiales ya clasificados";;
"3566";"B58833062";"15-A-293-00013175";"NEUMATICOS IRUñA SL";"NEUMATICOS IRUÑA SL (INDUSTRIA)";"Poligono Industrial Akaborro C-2 Parc 4";"IRURTZUN";"Irurtzun";"Navarra";"31860";"948302267";"pamplona@neumaticosiruna.com";;"www.neumaticosiruna.com";"29.32";"Fabricación de otros componentes, piezas y accesorios para vehículos de motor";;
"3567";"B59125583";"15-A-204-00052184";"AURUM COSMETIC SL";"AURUM COSMETIC SL";"POLIGONO INDUSTRIAL ELORDI, C/B 1  ";"ULTZAMA";"Iraizotz";"Navarra";"31797";"948309245";"aurum@aurumcosmetic.com";"948309218";;"20.42";"Fabricación de perfumes y cosméticos";;
"3568";"B62096177";"15-A-201-00001840";"HUNTSMAN ADVANCED MATERIALS (SPAIN) SL";"HUNTSMAN ADVANCED MATERIALS SPAIN, S.L.";"Avda. Arostegui, s/n";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31009";"948178500";"susana_monclus@huntsman.com";"948250966";"www.huntsman.com";"20.15";"Fabricación de fertilizantes y compuestos nitrogenados";;
"3569";"B62187927";"15-A-284-00052116";"LOXIN 2002 SL";"LOXIN 2002, S.L. - GALAR";"Pol. Ind. Comarca II, C/A -37";"GALAR";"Esquíroz";"Navarra";"31191";"948351423";"asier.guelbenzu@loxin2002.com";"948350537";;"28.41";"Fabricación de maquinas herramienta para trabajar el metal";;
"3570";"B71005714";"15-A-473-00053485";"ESTACION DE SERVICIO ZIZUR SL";"ESTACION DE SERVICIO ZIZUR SL (MI y MD)";"CR AUTOVIA A-12  KM 7,3  ";"CIZUR";"Gazólaz ";"Navarra";"31190";"948353315";"e.s.zizur@gmail.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3571";"B71128722";"15-A-256-00012876";"TALLERES COHIMER RIBERA SL";"TALLERES COHIMER RIBERA, SL";"Pol. Ind. Municipal, Vial Transversal 1, nº 7";"TUDELA";"Tudela";"Navarra";"31500";"948411607";"cohimar@cohimer.es";"948825813";;"25.61";"Tratamiento y revestimiento de metales";;
"3572";"B78210747";"15-A-281-00012921";"TRW AUTOMOTIVE ESPAñA SL";"ZF AFTERMARKET IBÉRICA, SL .(CORELLA)";"Polígono Industrial Ombatillo, s/n";"CORELLA";"Corella";"Navarra";"31591";"948780535";"magana.vicente@fmg-eu.com";"948780629";;"28.11";"Fabricación de motores y turbinas, excepto los destinados a aeronaves, vehículos automóviles y ciclomotores";;
"3573";"B78210747";"15-A-711-00051373";"TRW AUTOMOTIVE ESPAñA SL";"TRW AUTOMOTIVE ESPAÑA, S.L.- ENGINEERING CENTER";"Parque Empresarial La Muga, 3";"ORKOIEN";"Orkoien";"Navarra";"31160";"948421880";"mail@nodisponible.es";"948421899";;"71.12";"Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico";;
"3574";"B28062339";"15-A-201-00005560";"NIPPON GASES ESPAÑA SLU";"NIPPON GASES ESPAÑA SLU";"Ctra de Echauri s/n";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31012";"948253100";"franciscojose.oliveira@nippongases.com";"948270568";;"20.11";"Fabricación de gases industriales";;
"3575";"B81724288";"15-A-251-00008102";"PUERTAS AUTOMATICAS PORTIS SL";"PUERTAS AUTOMATICAS PORTIS, S.L.";"Pol. Ind. Agustinos, C/G, Nave D 18 bis";"ORKOIEN";"Orkoien";"Navarra";"31160";"948351025";"navarra@rolltore-portis.com";"948351085";;"25.12";"Fabricación de carpintería metálica";;
"3576";"B81936189";"15-A-171-00007834";"BERTAKO SL";"BERTAKO SL";"Pol. Ind. Areta, C/Altzutzate, s/n";"HUARTE/UHARTE";"Huarte/Uharte";"Navarra";"31620";"948335030";"pablo.urtasun@dssmith.com";"948331354";;"17.12";"Fabricación de papel y cartón";;
"3577";"B82526583";"15-A-133-00052721";"KRÜGER TECHNOLOGY SL";"KRÜGER TECHNOLOGY SL";"Pol. Ind. Agustinos, C/G, Parc B2";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31013";"948318405";"info@kruger.es";"948318453";;"13.3";"Acabado de textiles";;
"3578";"B84034040";"15-A-473-00014530";"ESTACION DE SERVICIO URBASA SL";"ESTACION DE SERVICIO URBASA SL";"Ctra N-I, Km 396";"OLAZTI/OLAZAGUTÍA";"Olazti/Olazagutía";"Navarra";"31809";"948464513";"urbasa@grupovalcarce.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3579";"B85647600";"15-A-351-00053412";"CORPORACION ACCIONA HIDRAULICA SLU";"CENTRAL HIDRAULICA DE ""EL BERBEL""";"Central Hidroeléctrica el Berbel";"CABANILLAS";"Cabanillas";"Navarra";"31511";"948006000";"marrarasdonezar@acciona.es";;;"35.15";"Producción de energía hidroeléctrica";;
"3580";"B95099107";"15-A-236-00009774";"NORTEN PREFABRICADOS DE HORMIGON SL";"NORTEN PREFABRICADOS DE HORMIGON, S.L.";"Pol. Ind. Ibarrea, s/n";"ALTSASU/ALSASUA";"Altsasu/Alsasua";"Navarra";"31800";"948468000";"mail@nodisponible.es";"948468443";;"23.61";"Fabricación de elementos de hormigón para la construcción";;
"3581";"B95219622";"15-A-473-00053129";"SERVICIOS LOGISTICOS GLOBALES TRANSIMAZ SL";"SERVICIOS LOGISTICOS GLOBALES TRANSIMAZ SL";"Pol. Ind. Ampliacion Comarca I, C/L, Nave 12";"ORKOIEN";"Orkoien";"Navarra";"31160";"948343400";"mj.imaz@transimaz.com";"948355210";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3582";"E31184963";"15-A-181-00052377";"CATALAN SOLDEVILLA JORGE PABLO Y AGUIRRE BERMEJO CONCEPCION";"CATALAN SOLDEVILLA, JORGE Y AGUIRRE BERMEJO, CONCEPCION";"Pol. Ind. Ombatillo, Manz A, Parc 1257, Nave 24";"CORELLA";"Corella";"Navarra";"31591";"948401953";"imprenta@catalanag.com";"948401953";;"18.12";"Otras actividades de impresión y artes gráficas";;
"3583";"E31208564";"15-A-432-00004942";"GONZALEZ BUENO FELIX Y MIGUEL";"GONZALEZ HNOS, S.I.";"C/ Francisco J. Iriarte";"BAZTAN";"Elizondo ";"Navarra";"31700";"948580337";"mail@nodisponible.es";;;"43.29";"Otras instalaciones en obras de construcción";;
"3584";"E31265754";"15-A-251-00014106";"HUICI ZOZAYA JUAN B Y ODRIOZOLA GOROSTIDI SEB STIA";"S.ODRIOZOLA-B.HUICI, S.I.";"Polígono Alkaiaga, Elutxa Kalea Pab 318";"LESAKA";"Lesaka";"Navarra";"31789";"948631244";"sodriozola@wanadoo.es";"948625564";;"25.12";"Fabricación de carpintería metálica";;
"3585";"E31564214";"15-A-289-00014595";"DURAN RICIS JOSE Y GARCIA ALVERO ALVARO";"DUGAR, S.I.";"Pol. Ind. de Cintruenigo";"CINTRUÉNIGO";"Cintruénigo";"Navarra";"31592";"948812521";"comercial@indugarbi.com";"948815166";;"28.94";"Fabricación de maquinaria para las industrias textil, de la confección y del cuero";;
"3586";"B71283162";"15-A-473-00052518";"AREA DE SERVICIO CAPARROSO SL";"ESTACION DE SERVICIO CEPSA-CAPARROSO";"N-121 Km 56";"CAPARROSO";"Caparroso";"Navarra";"31380";"948730083";"luisluquiaicua@hotmail.com";"948710829";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3587";"E31662984";"15-A-467-00014429";"CHUECA BUZON V CHUECA ESCRIBANO A Y CHUECA MARTIARTU C";"CHUECA BUZON V., CHUECA ESCRIBANO A. Y OTROS";"Mayor s/n";"MURCHANTE";"Murchante";"Navarra";"31521";"948838683";"mail@nodisponible.es";"948838651";;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"3588";"E31754229";"15-A-289-00050488";"M.E. LATZ SL Y BURNI LAN MANUTENCION SL";"BURNI-LAN MANUTENCIÓN, S.L. ";"Polígono Industrial Eluseder nº 5";"ARESO";"Areso";"Navarra";"31876";"948510801";"burnilan@burnilan.com";"948510801";;"28.92";"Fabricación de maquinaria para las industrias extractivas y de la construcción";;
"3589";"F01218742";"15-A-467-00053399";"BIDEKO ATERPE SDAD COOP";"BIDEKO ATERPE SDAD COOP";"MESETA DE SALINAS C/A, 4";"GALAR";"Salinas de Pamplona ";"Navarra";"31191";"948281024";"JMURILLO@HIRU.ORG";"948281025";;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"3590";"F31667298";"15-A-016-00051320";"SAT NUMERO 627 NA GURELAN";"S.A.T. GURELAN Nº 627 NA";;"ULTZAMA";"Arraitz-Orkin";"Navarra";;;;;;"1.61";"Actividades de apoyo a la agricultura";;
"3591";"F31065121";"15-A-242-00008033";"SAKANA SCI";"SAKANA SCI";"Zona Sarrarte s/n";"LAKUNTZA";"Lakuntza";"Navarra";"31830";"948576000";"info@sakana.coop";"948576130";"www.sakana.coop";"24.2";"Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero";;
"3592";"F31335011";"15-A-473-00013782";"TRANSPORTES SAKANA SOCIEDAD COOPERATIVA LIMITADA";"TRANSPORTES SAKANA, S.COOP.LTDA";"Ctra N-1, Km 393";"OLAZTI/OLAZAGUTÍA";"Olazti/Olazagutía";"Navarra";"31809";"948467653";"transakana@telefonica.net";"948469056";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3593";"F31357320";"15-A-245-00004267";"MANUFACTURAS DEL ALUMINIO PAMPLONA SECTOR AUTOMOCIÓN";"MAPSA";"Echauri, 11";"ORKOIEN";"Orkoien";"Navarra";"31160";"948325011";"jceberio@mapsa.net";"948325323";;"24.53";"Fundición de metales ligeros";;
"3594";"F71039242";"15-A-281-00053404";"ALTSASUKO S COOP";"COPRECI S COOP";"Barrio Txunkai s/n";"ALTSASU/ALSASUA";"Altsasu/Alsasua";"Navarra";"31800";"948563172";"oaldazabal@copreci.es";"948563496";;"28.14";"Fabricación de otra grifería y válvulas";;
"3595";"G31865520";"15-A-522-00052480";"FUNDACION VARAZDIN";"FUNDACION VARAZDIN";"Pol. INd. Noain-Esquiroz, C/H 37";"GALAR";"Esquíroz";"Navarra";"31191";"948312813";"varazdin@varazdin.es";"948317211";;"52.24";"Manipulación de mercancías";;
"3596";"P3114802F";"15-A-383-00014258";"MANCOMUNIDAD DE MAIRAGA";"MANCOMUNIDAD DE MAIRAGA-VERTEDERO";"Paraje Romerales";"TAFALLA";"Tafalla";"Navarra";"31300";"948703305";"ehernandez@mairaga.es";"948703330";;"38.32";"Valorización de materiales ya clasificados";;
"3597";"B31690811";"15-A-452-00013032";"KIKO CAR MOTOR SL";"KIKO CAR MOTOR, S.L.";"Pol. Ind. Merkatondoa, 18, Nave 23";"ESTELLA/LIZARRA";"Estella/Lizarra";"Navarra";"31200";"948554554";"taller@carmotor.e.telefonica.net";"948554554";;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3598";"B71180376";"15-A-581-00060309";"FOTOS DE BELENES EDITIONS, SOCIEDAD LIMITADA";"FOTOS DE BELENES EDITIONS S.L.";;"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"58.11";"Edición de libros";;
"3599";"E71368831";"15-A-452-00060310";"LARRAZ OREJA JUAN JOSE Y RODRIGUEZ LORENZO ABEL";"CARROCERIAS SANGUESA";"AV PADRE RAIMUNDO LUMBIER 16";"SANGÜESA/ZANGOZA";"Sangüesa/Zangoza";"Navarra";"31400";"948430115";"juanjoselarraz@hotmail.com";;;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3600";"78743918Z";"15-A-452-00060311";"SALDIAS LARRAMENDI JOSE IGNACIO";"SALDIAS LARRAMENDI JOSE IGNACIO (ANELJO)";"CALLE PADRE JUAN ALFARO, 40";"CARCASTILLO";"Carcastillo";"Navarra";"31310";"652114381";"josisaldias@hotmail.com";;;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3601";"B71116990";"15-A-452-00053234";"ELECTROMECÁNICA BLAS MARTÍNEZ SLU";"ELECTROMECÁNICA BLAS MARTÍNEZ, SLU";"POLÍGONO FUENTE DEL REY, NAVE 14";"TAFALLA";"Tafalla";"Navarra";"31300";"948755618";"peugeotafalla@gmail.com";;;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3602";"B31881410";"15-A-862-00060314";"BIOINNOVACION DENTAL SL";"BIOINNOVACION DENTAL S.L.";"AV PLAZA NORTE 4";"BARAÑÁIN";"Barañáin/Barañain";"Navarra";"31010";;;;;"86.23";"Actividades odontológicas";;
"3603";"73128323F";"15-A-452-00060316";"RUCHIT RIVED MARC";"ELECTROMECANICA MG";"Berriainz  CL B Nave 22";"BERRIOZAR";"Berriozar";"Navarra";"31013";"639741044";"marcosrived@hotmail.com";;;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3604";"B31599533";"15-A-282-00060320";"KAREAGA MANTENIMIENTO Y REPARACION INDUSTRIAL SL";"KAREAGA MANTENIMIENTO Y REPARACION INDUSTRIAL S.L.";"Pol. Ind. Abaco, Parc 12";"TAFALLA";"Tafalla";"Navarra";"31300";"948702262";"o@o.com";;;"28.29";"Fabricación de otra maquinaria de uso general no clasificado en otra parte";;
"3605";"B71132062";"15-A-282-00060322";"ASISTENCIA EN INSTALACIONES DE RENOVABLES-RONCAL SL";"ASISTENCIA EN INSTALACIONES DE RENOVABLES-RONCAL S.L.";"Polígono Ind. Las Vales, Calle A-10";"CAPARROSO";"Caparroso";"Navarra";"31380";"660073529";"raqueluzqueda@air-ron.es";;;"28.25";"Fabricación de maquinaria de ventilación y refrigeración no doméstica";;
"3606";"B31881410";"15-A-325-00060323";"BIOINNOVACION DENTAL SL";"BIOINNOVACIÓN DENTAL, S.L.";"Pol. Ind. Mutilva Baja, C/ V, nº 24-26 ";"ARANGUREN";"Mutilva Alta/Mutiloagoiti";"Navarra";"31192";"616408409";"cezquieta@gmail.com";;;"32.5";"Fabricación de instrumentos y suministros médicos y odontológicos";;
"3607";"A31084296";"15-A-201-00008318";"RECICLAJES PLASTICOS GASTON SA";"RECICLAJES PLASTICOS GASTON, S.A.";"Pol. Ind. Villatuerta";"VILLATUERTA";"Villatuerta";"Navarra";"31132";"948541154";"mail@nodisponible.es";"948541143";;"20.16";"Fabricación de plásticos en formas primarias";;
"3608";"Y2111088R";"15-A-452-00060327";"NUNES TIMOTEO NURIO MIGUEL";"VINTAGE CAR PAINT";"PG LAS LABRADAS, CL COMUNIDAD FORAL DE NAVARRA 21";"TUDELA";"Tudela";"Navarra";"31500";"620289462";"vintagecarpaint@gmail.com";;;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3609";"A31138761";"15-A-293-00009827";"TECNOCONFORT SA";"TECNOCONFORT, S.A. (GRUPO FAURECIA)";"Agustinos C/ B s/n";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31014";"948303630";"pilar.rodriguez@forvia.com";"948303620";;"29.32";"Fabricación de otros componentes, piezas y accesorios para vehículos de motor";;
"3610";"72658801F";"15-A-452-00009079";"SOLANO SALANUEVA JAIME";"SOLANO SALANUEVA, JAIME";"ESPOZ Y MINA 9";"ESTELLA/LIZARRA";"Estella/Lizarra";"Navarra";"31200";;;;;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3611";"72805271J";"15-A-452-00009540";"GOICOECHEA LACUNZA IGNACIO";"ELECTROMECÁNICA IRAÑETA";"San Juan s/n";"IRAÑETA";"Irañeta";"Navarra";"31849";"690209641";"igoikoetxealacunza@gmail.com";"948600185";"www.antrv.com";"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3612";"72653089E";"15-A-452-00009701";"ALFARO MAYOR EMILIANO";"ALFARO MAYOR, EMILIANO";"MARIA HUARTE SN";"TUDELA";"Tudela";"Navarra";"31500";;;;;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3613";"B26113050";"15-A-452-00060338";"JAPOAUTO SL";"JAPOAUTO - TOYOTA TUDELA";"LA BARRENA C/CANAL DE NAVARRA 9";"TUDELA";"Tudela";"Navarra";"31500";"678617070";"carlos@japoauto.com";;;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3614";"33463398P";"15-A-105-00060339";"TORNERO VIDAL PATRICIA";"PATRICIA TORNERO VIDAL";"BORDA DORRETXIPIA";"BAZTAN";"Erratzu";"Navarra";"31714";"948453301";;;;"10.53";"Fabricación de quesos";;
"3615";"33430992D";"15-A-452-00060340";"SANCHEZ SANCHEZ ANTONIO";"PREMIER CAR";"PG EZCABARTE CALLE K Nº 7";"EZCABARTE";"Arre";"Navarra";"31194";"948361808";"premiercar3@gmail.com";;;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3616";"73457497M";"15-A-452-00060342";"LOPEZ QUIROZ RODOLFO BLADIMIR";"TALLER CHAPA Y PINTURA AMAYA";"POL. IND. MUTILVA, CALLE F NAVE 4";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"948245439";"rodblaz@hotmail.com";;;"45.2";"Mantenimiento y reparación de vehículos de motor";;
"3617";"A31001977";"15-A-106-00041095";"GURIA SA";"GURIA, S.A.";"Estación, 3";"BIURRUN-OLCOZ";"Estación Biurrun-Campanas";"Navarra";"31398";"948360005";"guria@harinasguria.es";"948360279";"www.harinasguria.es";"10.61";"Fabricación de productos de molinería";;
"3618";"B48231351";"15-A-473-00012299";"CECOSA HIPERMERCADOS SL";"GASOLINERA EROSKI IRUÑA";"CC Iruña, Ctra San Sebastian, Km 1 (C/ Soto de Aizoain s/n)";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31013";"948303320";"S5190@eroski.es";"948302766";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3619";"15604087J";"15-A-016-00040526";"PARDO ORTA ALFREDO";"PARDO,ORTA,ALFREDO";"Las Parcelas, s/n";"FONTELLAS";"Fontellas";"Navarra";"31001";"999999999";"@";;;"1.64";"Tratamiento de semillas para reproducción";;
"3620";"A42002543";"15-A-016-00040521";"ADOLFO MARTINEZ SA";"ADOLFO MARTINEZ, S.A.";"San Juan, 13";"MURILLO EL CUENDE";"Traibuenas";"Navarra";;"948730500";"traibuenas@adolfomartinez.com";;;"1.64";"Tratamiento de semillas para reproducción";;
"3621";"B31702566";"15-A-016-00041971";"CEREALES PARMA SL";"CEREALES PARMA, S.L.";"POLIGONO GANADERO, S/N";"FUSTIÑANA";"Fustiñana";"Navarra";;"948840597";;;;"1.64";"Tratamiento de semillas para reproducción";;
"3622";"F31021231";"15-A-016-00040181";"HERMANDAD LABRADORES SOCIEDAD COOPERATIVA";"HERMANDAD LABRADORES S. COOP.";"Navas de Tolosa, 70";"MILAGRO";"Milagro";"Navarra";"31320";"948861108";"hermandadmilagro@telefonica.com";"948844260";;"1.64";"Tratamiento de semillas para reproducción";;
